"listing_id","season","available_days","total_days","availability_ratio","room_type"
"1019871231932145749","Autumn","91","91","1","Entire home/apt"
"1019871231932145749","Spring","86","92","0.934783","Entire home/apt"
"1019871231932145749","Summer","92","92","1","Entire home/apt"
"1019871231932145749","Winter","90","90","1","Entire home/apt"
"1019988816547318918","Autumn","0","91","0","Entire home/apt"
"1019988816547318918","Spring","16","92","0.173913","Entire home/apt"
"1019988816547318918","Summer","0","92","0","Entire home/apt"
"1019988816547318918","Winter","0","90","0","Entire home/apt"
"1020025718672308624","Autumn","91","91","1","Entire home/apt"
"1020025718672308624","Spring","53","92","0.576087","Entire home/apt"
"1020025718672308624","Summer","92","92","1","Entire home/apt"
"1020025718672308624","Winter","90","90","1","Entire home/apt"
"1020073068828532281","Autumn","91","91","1","Entire home/apt"
"1020073068828532281","Spring","16","92","0.173913","Entire home/apt"
"1020073068828532281","Summer","38","92","0.413043","Entire home/apt"
"1020073068828532281","Winter","20","90","0.222222","Entire home/apt"
"1020169768576348366","Autumn","15","91","0.164835","Private room"
"1020169768576348366","Spring","8","92","0.0869565","Private room"
"1020169768576348366","Summer","34","92","0.369565","Private room"
"1020169768576348366","Winter","0","90","0","Private room"
"1020473089871610956","Autumn","91","91","1","Entire home/apt"
"1020473089871610956","Spring","92","92","1","Entire home/apt"
"1020473089871610956","Summer","92","92","1","Entire home/apt"
"1020473089871610956","Winter","90","90","1","Entire home/apt"
"1020578320227062486","Autumn","0","91","0","Private room"
"1020578320227062486","Spring","24","92","0.26087","Private room"
"1020578320227062486","Summer","23","92","0.25","Private room"
"1020578320227062486","Winter","0","90","0","Private room"
"1020658876081830848","Autumn","75","91","0.824176","Entire home/apt"
"1020658876081830848","Spring","37","92","0.402174","Entire home/apt"
"1020658876081830848","Summer","63","92","0.684783","Entire home/apt"
"1020658876081830848","Winter","20","90","0.222222","Entire home/apt"
"1020710391780460393","Autumn","0","91","0","Entire home/apt"
"1020710391780460393","Spring","30","92","0.326087","Entire home/apt"
"1020710391780460393","Summer","0","92","0","Entire home/apt"
"1020710391780460393","Winter","0","90","0","Entire home/apt"
"1020725526415997721","Autumn","0","91","0","Entire home/apt"
"1020725526415997721","Spring","31","92","0.336957","Entire home/apt"
"1020725526415997721","Summer","0","92","0","Entire home/apt"
"1020725526415997721","Winter","0","90","0","Entire home/apt"
"1020769888077417296","Autumn","91","91","1","Entire home/apt"
"1020769888077417296","Spring","1","92","0.0108696","Entire home/apt"
"1020769888077417296","Summer","62","92","0.673913","Entire home/apt"
"1020769888077417296","Winter","20","90","0.222222","Entire home/apt"
"1020804089297408717","Autumn","91","91","1","Private room"
"1020804089297408717","Spring","66","92","0.717391","Private room"
"1020804089297408717","Summer","92","92","1","Private room"
"1020804089297408717","Winter","20","90","0.222222","Private room"
"1020863197417637529","Autumn","91","91","1","Private room"
"1020863197417637529","Spring","67","92","0.728261","Private room"
"1020863197417637529","Summer","92","92","1","Private room"
"1020863197417637529","Winter","20","90","0.222222","Private room"
"1020913256586891163","Autumn","20","91","0.21978","Private room"
