id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35561051,"Room in Central, 2/walkup near MTR St. - (ML9d)",7518056,Jovee,,Wan Chai,22.25931,114.19223,Private room,160,30,0,,,225,364,0,
35562213,旺角彌敦道零距離地鐵站（倫敦）London Homestay 旅遊住宿2-8人,247070196,Las Vegas,,Yau Tsim Mong,22.31365,114.17149,Entire home/apt,1700,1,12,2024-01-21,0.21,4,262,4,
35562721,Economy Tai Kok Tsui Room in Tai Kok Tsui (TK2B),7518056,Jovee,,Kowloon City,22.31801,114.18048,Private room,160,29,0,,,225,365,0,
35563119,Convenient Flat in Tai Kok Tsui (TK2C),7518056,Jovee,,Kowloon City,22.31941,114.18057,Private room,160,29,0,,,225,365,0,
35572357,"T1C兩個寢室,2小陽台,廟街夜市,佐敦站A出口4分鐘,廚房,即熱熱水器,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30697,114.16914,Entire home/apt,1143,3,74,2024-01-04,1.28,22,307,23,
35594120,Quarry Bay  Studio Room Available ( Q1ds),7518056,Jovee,,Wan Chai,22.25781,114.1908,Private room,245,29,0,,,225,364,0,
35594181,"200sq.ft. STUDIO SPACE @ MERCER STRT, HK",138649185,Apac,,Wan Chai,22.25775,114.19202,Entire home/apt,525,30,0,,,135,364,0,
35594390,Quarry Bay Room Available ( Q1f ),7518056,Jovee,,Wan Chai,22.25974,114.19002,Private room,180,29,0,,,225,364,0,
35617477,Convenient Causeway Bay studio with Lift (C27D),7518056,Jovee,,Wan Chai,22.25788,114.19036,Private room,250,29,0,,,225,365,0,
35617545,Causeway Bay Room Available (C27c ),7518056,Jovee,,Wan Chai,22.25905,114.19009,Private room,217,29,0,,,225,364,0,
35617649,Causeway Bay Studio available ( C27a),7518056,Jovee,,Wan Chai,22.25966,114.19219,Private room,220,29,1,2023-06-08,0.10,225,364,1,
35617716,Studio Convenient Room Available ( C27d),7518056,Jovee,,Wan Chai,22.25984,114.19192,Private room,243,29,0,,,225,364,0,
35622884,Tsim Sha Shui Room Available (T4e),7518056,Jovee,,Kowloon City,22.31835,114.1785,Private room,160,29,0,,,225,364,0,
35623040,Affordable Room Available Tsim  Sha Tsui ( T4b),7518056,Jovee,,Kowloon City,22.31748,114.17884,Private room,160,29,0,,,225,364,0,
35623168,Tsim Sha Tsui  Room Available  ( T4A),7518056,Jovee,,Kowloon City,22.31758,114.18068,Private room,160,29,0,,,225,364,0,
35623410,Tsim Sha Tsui Room Available ( T4d),7518056,Jovee,,Wan Chai,22.25953,114.19169,Private room,160,29,0,,,225,364,0,
